Checked,Original title,Local title,Year,Media type,Type,Edition,Country,Case,Discs,Sub-fi,Sub-en,Aspect ratio,Running time,Director,Status,Condition,Notes,Watched,Rental,Slip Cover,Hologram,Id,Barcode,IMDB,Collection Id,Series,Publisher,Studio,Vihkonen,Kohtausluettelo,2 Sided Disc,2 Sided Cover
yes,Aleksi Mäkelä Collection,,1900,,DVD,,Finland,,6,no,no,,586,Aleksi Mäkelä,Owned,Poor - Slightly Damaged,Häjyt levyssä naarmu sekä Pahat pojat ja Lomalla leveyissä jotain kummaa efektiä,no,no,no,no,1965,8717418082802,tt0000000,,,,,,,,
yes,Fatal Attraction / Indecent Proposal / An Officer and a Gentleman,,1900,,DVD,,Nordic,,3,yes,no,,345,,Owned,Excellent,,no,no,no,no,1989,7332431991279,tt0000000,,,,,,,,
yes,The Serial Killers,Serial Killers of All Times,1995,TV Serie,DVD,,Nordic,,3,no,no,1.85:1,283,,Owned,,,no,no,no,no,2094,5706147115236,tt0834492,,,,,,,,
yes,Blacula - The Complete Collection,,1972,Movie,Blu-ray,Dual Format Edition,United Kingdom,,3,no,yes,1.85:1,190,Bob Kelljan,Owned,,,no,no,no,no,2222,5060000701470,tt0000000,,,,,,,,
yes,Resident Evil Trilogy,,1900,Movie,DVD,,Finland,,3,no,no,,0,,Owned,Good,,no,no,no,no,2332,5051160222318,tt0000000,,,,,,,,
yes,Tremors Attack Pack,,1900,Movie,DVD,,United Kingdom,,4,no,no,,383,,Owned,,,no,no,no,no,2375,5050582468816,tt0000000,,,,,,,,
yes,The Ultimate Matrix Collection,,1900,,DVD,,Finland,,10,yes,no,,0,,Owned,fair,"Yhdessä levyssä kevyttä naarmua, yhdessä keskiössä pieni halkeama. Vihko ja takakansipahvi mukana.",no,no,no,no,2418,7321944590802,,,,,,,,,
yes,Kung Fu Panda Collection,,0,,DVD,,Nordic,,2,yes,yes,,0,,Owned,,,no,no,no,no,2538,7332505002955,,,,,,,,,
yes,Lilo & Stitch,Lilo & Stitch: Sisältää Kaksi Elokuvaa,0,Movie,DVD,,Finland,,1,yes,no,,0,,SaleOrTrade,Bad - Damaged,,no,no,no,no,2541,7393834545704,,,,,,,,,
yes,Täydellinen seikkailu - Shrek + Shrek 3D + Shrek 2,,1900,Movie,DVD,Viiden levyn keräilyboksi,Finland,,5,yes,yes,,0,,Owned,,,no,no,no,no,2915,7332505990351,tt0000000,,,,,,,,
yes,Cold Feet: The Complete Box - The complete Box,Cold Feet: The Complete Box,1997,TV Serie,DVD,,Finland,,10,yes,yes,1.78:1,1700,"Terry McDonough, Tim Whitby, Simon Delaney, Ciaran Donnelly, Declan Lowney, Jon Jones, Paul Kousoulides, Rebecca Gatward, John Hardwick, Nigel Cole, Mark Mylod, Tom Hooper, Pete Travis, Tom Vaughan, Jamie Jay Johnson, Juliet May, Louise Hooper, Tim Sullivan",Owned,,,no,no,no,no,3153,7391970018977,tt0168596,,,,,,,,
 yes,Scream - The Collection,,1900,Movie,DVD,,Finland,,2,yes,no,,0,,Owned,Fair,,no,no,no,no,3216,5706132353698,tt0000000,,,,,,,,
yes,Three Colours Trilogy,,1900,Movie,DVD,,United Kingdom,,4,no,no,,338,,Owned,Excellent,,no,no,no,no,3278,5021866275307,tt0000000,,,,,,,,
yes,Red Curtain Trilogy,,0,,DVD,,Finland,,1,no,no,,0,,Owned,,,no,no,no,no,3330,6438044180350,tt0000000,,,,,,,,
yes,Fast & Furious - The Complete Collection,,1900,Movie,Blu-ray,,Finland,,5,no,no,,551,,Owned,,,no,no,no,no,3351,5050582956870,tt0000000,,,,,,,,
yes,The Lovely Bones / Ghost,,1900,Movie,Blu-ray,,Finland,,2,no,no,,252,,Owned,,,no,no,no,no,3353,7332431037441,tt0000000,,,,,,,,
yes,Wrong Turn 2-Pack,,1900,Movie,DVD,,United Kingdom,,2,no,no,,174,,SaleOrTrade,Fair,Ekassa levyssä hieman jälkiä,no,no,no,no,3354,5039036036634,tt0000000,,,,,,,,
yes,Stanley Kubrick Collection,,1900,Movie,DVD,,Finland,,6,yes,yes,,836,,Owned,Fair,The Shining -levyssä jokunen kevyt hiusnaarmu,no,no,no,no,3554,7321944739645,,,,,,,,,
yes,The Quentin Tarantino Collection,,1900,Movie,DVD,,Finland,,8,no,no,,628,,SaleOrTrade,Poor - Slightly Damaged,,no,no,no,no,3696,5708758657495,tt0000000,,,,,,,,
yes,Happy Feet / The Ant Bully,,0,,Blu-ray,0,Finland,,0,no,no,,0,,Owned,,,no,no,no,no,4020,0,,,,,,,,,
yes,The Prisoner,,1967,TV Serie,DVD,,United Kingdom,,5,no,yes,1.33:1,960,"Patrick McGoohan, Pat Jackson, Don Chaffey, David Tomblin",Owned,,,no,no,no,no,4157,5037115010339,tt0061287,,,,,,,,
yes,Saw 1 / Saw 2,,1900,Movie,DVD,Bloodbox Collector's Edition,Nordic,,1,no,no,,0,,Owned,Fair,Saw II hieman jälkeä,no,no,no,no,4267,5706147115663,tt0000000,,,,,,,,
yes,Peter Jackson Collection,,1900,Movie,DVD,,Finland,,5,no,no,,358,,Owned,,,no,no,no,no,4381,6415018616947,tt0000000,,,,,,,,
no,True Detective: The Complete First & Second Season,,0,TV Serie,Blu-ray,,Finland,,1,no,no,,0,,Owned,,,no,no,no,no,4399,5051895400937,tt2356777,,,,,,,,
