Checked,Original title,Local title,Year,Media type,Type,Edition,Country,Case,Discs,Sub-fi,Sub-en,Aspect ratio,Running time,Director,Status,Condition,Notes,Watched,Rental,Slip Cover,Hologram,Id,Barcode,IMDB,Collection Id,Series,Publisher,Studio,Vihkonen,Kohtausluettelo,2 Sided Disc,2 Sided Cover
yes,The Wild Angels,Helvetin jengi,1966,Movie,DVD,,Finland,,1,yes,no,,0,Roger Corman,Owned,Excellent,,no,no,no,no,3274,6416548521510,tt0061189,,,,,,,,
yes,The Wild Bunch,,1969,Movie,DVD,Two-Disc Special Edition - The Original Director's Cut,United Kingdom,,2,no,yes,2.40:1,139,Sam Peckinpah,Owned,Fair,,no,no,no,no,1429,7321900705936,tt0065214,,,,,,,,
no,The Wild Bunch,Hurja Joukko,1969,Movie,Blu-ray,,Finland,,1,no,no,,0,Sam Peckinpah,Owned,,,no,no,no,no,8279,5051895036136,tt0065214,,,,,no,no,no,
yes,The Wild Geese,Villihanhet,1978,Movie,DVD,,Finland,,1,yes,no,1.78:1,133,Andrew V. McLaglen,Owned,Fair,,no,no,no,no,4338,6416548824116,tt0078492,,,,,,,,
no,The Wire: The Complete Series,,2002,TV Serie,DVD,,Finland,,23,yes,yes,1.33:1,3565,"Joe Chappelle, Ernest R. Dickerson, Clark Johnson, Ed Bianchi, Steve Shill, Daniel Attias, Timothy Van Patten, Agnieszka Holland, Brad Anderson, Clement Virgo, Rob Bailey, Elodie Keene, Christine Moore, Alex Zakrzewski, Anthony Hemingway, Seith Mann, Milcho Manchevski, Peter Medak, Gloria Muzio, Robert F. Colesberry, Thomas J. Wright, Leslie Libman, David Platt, Joy Kecken, Scott Kecken, Dominic West",Owned,,,no,no,no,no,4266,5051895053287,tt0306414,,,,,,,,
yes,The Witch: A New-England Folktale,The VVitch: A New-England Folktale,2015,Movie,Blu-ray,,Nordic,,1,yes,yes,1.66:1,92,Robert Eggers,Owned,Excellent,,yes,no,no,no,2352,5053083092092,tt4263482,,,,,,,,
no,The Witches,,1966,Movie,DVD,,United Kingdom,,1,no,no,1.66:1,87,Cyril Frankel,Owned,,,no,no,no,no,207,0,tt0060307,,,,,,,,
yes,The Witches,,1989,Movie,DVD,,United Kingdom,,1,no,yes,1.33:1,87,Nicolas Roeg,Owned,Poor - Slightly Damaged,,no,no,no,no,4097,7321900006712,tt0100944,,,,,,,,
yes,The Witches of Eastwick,,1987,Movie,DVD,,Finland,snapcase,1,yes,yes,2.35:1,113,George Miller,Owned,Excellent,,no,no,no,no,1269,7321944117412,tt0094332,,,,,,,,
no,The Wizard of Gore,,1970,Movie,Blu-ray,,United Kingdom,,1,no,no,,0,Herschell Gordon Lewis,Owned,,,no,no,no,no,6415,5027035019635,tt0066578,,,,,no,no,no,
